source|source_Material|source_MaterialPrefixed|target_Material|target_MaterialName|target_MaterialType
TimeXtender|209650030|C0209650030|1000200095|SC FPC-500-30|ZFER
TimeXtender|209693020|C0209693020|1000200102|SC FPC-993-20|ZFER
TimeXtender|451000001|C0451000001|1000200109|SC CRET10 M 20/300 S3 TS|ZFER
TimeXtender|451102013|C0451102013|1000200116|AC CRET SILENT D 984-30 S3|ZFER
TimeXtender|451103003|C0451103003|1000200123|AC CRET SILENT 985-30 S3|ZFER
TimeXtender|451103014|C0451103014|1000200130|AC CRET SILENT D C985-40 S3|ZFER
TimeXtender|0552.030-00380|G0552.030-00380|4000002524|PS HDB S R-16/195|ZHAL
TimeXtender|0552.030-00400|G0552.030-00400|4000002531|PS HDB S R-16/395|ZHAL
TimeXtender|0552.030-00408|G0552.030-00408|4000002539|PS HDB S R-16/475|ZHAL
TimeXtender|0552.030-00423|G0552.030-00423|4000002554|PS HDB S R-16/625|ZHAL
TimeXtender|0552.030-00502|G0552.030-00502|4000002594|PS HDB S R-20/175|ZHAL
TimeXtender|0552.030-00536|G0552.030-00536|4000002601|PS HDB S R-20/515|ZHAL
TimeXtender|0552.030-00548|G0552.030-00548|4000002613|PS HDB S R-20/635|ZHAL
TimeXtender|0552.030-00566|G0552.030-00566|4000002631|PS HDB S R-20/815|ZHAL
TimeXtender|0552.030-00629|G0552.030-00629|4000002655|PS HDB S R-25/205|ZHAL
TimeXtender|0552.030-00643|G0552.030-00643|4000002663|PS HDB S R-25/345|ZHAL
TimeXtender|LIP1L12|DLIP1L12|3000020216|IS-AIS C-Lindapter TYP P1 M12-EP  T=6mm|ZHAW
TimeXtender|LIP1S12|DLIP1S12|3000020222|IS-AIS C-Lindapter TYP P1 M12-EP  T=6mm|ZHAW
TimeXtender|LIP2L12|DLIP2L12|3000020229|IS-AIS C-Lindapter TYP P2 M12-EP  T=12mm|ZHAW
TimeXtender|LIP2S16|DLIP2S16|3000020236|IS-AIS C-Lindapter TYP P2 M16-EP  T=16mm|ZHAW
TimeXtender|LIW12|DLIW12|3000020243|IS-AIS C-Lindapter TYP W M12 -EP|ZHAW
TimeXtender|NIRO2514SPEZ|DNIRO2514SPEZ|3000020250|NIRO25-SPEZIAL 14MM RPPSTHL W.NR. 1.4362|ZHAW
TimeXtender|TD21S-5/25-250|DTD21S-5/25-250|3000020257|DEFORMATIONSLAGER TD21S-5/25-250|ZHAW
TimeXtender|TD21S-5/50-300|DTD21S-5/50-300|3000020264|DEFORMATIONSLAGER TD21S-5/50-300|ZHAW
TimeXtender|TDG27S-5/50-250|DTDG27S-5/50-250|3000020271|DEFORMATIONS &GLEITLAGER TDG27S-5/50-250|ZHAW
TimeXtender|UELS200|DUELS200|3000020278|UELS200|ZHAW
TimeXtender|0056.120-00002|G0056.120-00002|3000020723|HBT CISA 150 10/15y-1200|ZHAW
TimeXtender|0056.130-00002|G0056.130-00002|3000020730|HBT CISA 190 10/15y-1200|ZHAW
TimeXtender|0056.140-00004|G0056.140-00004|3000020737|HBT CISA 240 12/15x-1200|ZHAW
TimeXtender|0056.210-00006|G0056.210-00006|3000020744|HBT CH- 85-10/15z- 850 TYP 2|ZHAW
TimeXtender|0056.230-00009|G0056.230-00009|3000020751|HBT CH-120-12/15x-0850 TYP 5|ZHAW
TimeXtender|0056.240-00010|G0056.240-00010|3000020758|HBT CH-k2-150-10/20-0850 TYP 7|ZHAW
TimeXtender|0056.240-00017|G0056.240-00017|3000020765|HBT CH-150-14/15x- 850 TYP 5|ZHAW
TimeXtender|0056.250-00014|G0056.250-00014|3000020772|HBT CH-190-10/15z- 850 TYP 5|ZHAW
TimeXtender|0056.260-00007|G0056.260-00007|3000020779|HBT CH-220-10/15y- 850 TYP 5|ZHAW
TimeXtender|0056.270-00004|G0056.270-00004|3000020786|HBT CH-280-10/20-0850 TYP 4|ZHAW
TimeXtender|0322.010-00004|G0322.010-00004|3000020960|IS-AIS LP-GWP 41/41 A4-M 8 ( P3007 )|ZHAW
TimeXtender|0322.010-00011|G0322.010-00011|3000020967|IS-AIS LP-GWP 41/41 A4-M16 ( P1012 )|ZHAW
TimeXtender|0322.030-00003|G0322.030-00003|3000020974|IS-AIS LP-GWP 41/41 SH EP-M10 ( P1008 )|ZHAW
TimeXtender|0323.000-00002|G0323.000-00002|3000020981|IS-AIS TB-HS 41/41 A4-M12 x 35|ZHAW
TimeXtender|0323.010-00004|G0323.010-00004|3000020988|IS-AIS TB-HZS 41/41 ZFC-M10 x 50|ZHAW
TimeXtender|0325.010-00002|G0325.010-00002|3000022663|IS-AIS KLP S-Nr 26 HDG M16-62,5 x 64,0|ZHAW
TimeXtender|0325.020-00006|G0325.020-00006|3000021001|IS-AIS KLP-60/20 HDG -75x60x18 h=20|ZHAW
TimeXtender|0350.009-00003|G0350.009-00003|3000021007|CA-TB HS-  -SC|ZHAW
TimeXtender|0350.010-00014|G0350.010-00014|3000021014|CA-TB HS 20/12 EPS-4.6 M08 x 030|ZHAW
TimeXtender|0350.020-00005|G0350.020-00005|3000021021|CA-TB HS 28/15 A2-70 M10 x 025|ZHAW
TimeXtender|0052.070-00007|G0052.070-00007|1000001240|FI-4010- 16-M20x 810- B500B-GV|ZFER
TimeXtender|0052.070-00118|G0052.070-00118|1000001269|FI-4010- 32-M42x1015- B500B-FV|ZFER
TimeXtender|0054.010-00101|G0054.010-00101|1000001292|HBT  55- 8/15- 800 (24) TYP 1|ZFER
TimeXtender|0054.020-00005|G0054.020-00005|1000001302|HBT  85-12/20-1250 (36) TYP 1|ZFER
TimeXtender|0054.030-00004|G0054.030-00004|1000001311|HBT  80-10/15-1250 (30) TYP 6|ZFER
TimeXtender|0054.040-00008|G0054.040-00008|1000001320|HBT 120-12/20-1250 (36) TYP 5|ZFER
TimeXtender|0054.050-00005|G0054.050-00005|1000001331|HBT 150-10/20-1250 (30) TYP 5|ZFER
TimeXtender|0054.060-00001|G0054.060-00001|1000001344|HBT 190- 8/15-1250 (24) TYP 5|ZFER
TimeXtender|0054.060-00105|G0054.060-00105|1000001359|HBT 190-10/15- 800 (30) TYP 5|ZFER
TimeXtender|0054.070-00011|G0054.070-00011|1000001372|HBT 220-12/10-1250 (36) TYP 5|ZFER
TimeXtender|209622022|C0209622022|1000200069|SC FPC-122 V50-V75-20|ZFER
TimeXtender|209628020|C0209628020|1000200076|SC FPC-128-20|ZFER
TimeXtender|209634021|C0209634021|1000200083|SC FPC-134 V33-20|ZFER
TimeXtender|209646020|C0209646020|1000200089|SC FPC-945-946-20|ZFER
TimeXtender|209650031|C0209650031|1000200096|SC FPC-500 V20-V40-30|ZFER
TimeXtender|209693030|C0209693030|1000200103|SC FPC-993-30|ZFER
TimeXtender|451060506|C0451060506|1000200110|AC CRET SILENT-BST 960/970|ZFER
TimeXtender|451102014|C0451102014|1000200117|AC CRET SILENT D 984-40 S3|ZFER
TimeXtender|451103004|C0451103004|1000200124|AC CRET SILENT 985-40 S3|ZFER
TimeXtender|451103015|C0451103015|1000200131|AC CRET SILENT D C985-50 S3|ZFER
TimeXtender|0020.010-00060|G0020.010-00060|1000200598|FI-BA1988 -M12 100 A4 50-|ZFER
TimeXtender|0020.010-00068|G0020.010-00068|1000200605|FI-BA1988 -M20  90 EZP-|ZFER
TimeXtender|0020.020-00001|G0020.020-00001|1000200612|FI-BA1985 -M12 150 EZP-|ZFER
TimeXtender|0020.200-00011|G0020.200-00011|1000200619|FI-PA 1980-P -M12   55 R-|ZFER
TimeXtender|0020.270-00002|G0020.270-00002|1000200626|FI-T-FIXX -M10  75 EZP-|ZFER
