source|source_Material|source_MaterialPrefixed|target_Material|target_MaterialName|target_MaterialType
TimeXtender|201050006|C0201050006|1000200058|SC CRET-150 V42 S|ZFER
TimeXtender|209610030|C0209610030|1000200065|SC FPC-10/20-30|ZFER
TimeXtender|0552.030-00031|G0552.030-00031|4000002328|PS HDB S R-10/425|ZHAL
TimeXtender|0552.030-00039|G0552.030-00039|4000002336|PS HDB S R-10/505|ZHAL
TimeXtender|0552.030-00146|G0552.030-00146|4000002389|PS HDB S R-12/335|ZHAL
TimeXtender|0552.030-00155|G0552.030-00155|4000002397|PS HDB S R-12/425|ZHAL
TimeXtender|0552.030-00162|G0552.030-00162|4000002404|PS HDB S R-12/495|ZHAL
TimeXtender|0552.030-00257|G0552.030-00257|4000002456|PS HDB S R-14/205|ZHAL
TimeXtender|0552.030-00277|G0552.030-00277|4000002463|PS HDB S R-14/405|ZHAL
TimeXtender|0552.030-00286|G0552.030-00286|4000002472|PS HDB S R-14/495|ZHAL
TimeXtender|0552.030-00319|G0552.030-00319|4000002505|PS HDB S R-14/825|ZHAL
TimeXtender|0552.030-00390|G0552.030-00390|4000002528|PS HDB S R-16/295|ZHAL
TimeXtender|LIFL312 T|DLIFL312 T|3000020162|LIFL312T|ZHAW
TimeXtender|LIHB08SIZE3-FV|DLIHB08SIZE3-FV|3000020169|IS-AIS C-Lind.Typ HB M 8 x 90-HDG Size2|ZHAW
TimeXtender|LIHB12|DLIHB12|3000020176|IS-AIS C-Lindapter TYP HB M12 x 60-EP|ZHAW
TimeXtender|LIHB16-FV|DLIHB16-FV|3000022028|LIHB16-FV|ZHAW
TimeXtender|LIHB20SIZE2-FV|DLIHB20SIZE2-FV|3000020189|LIHB20SIZE2-FV|ZHAW
TimeXtender|LIHBCSK16-2|DLIHBCSK16-2|3000020196|LIHBCSK16-2|ZHAW
TimeXtender|LIHBSTCSK10-2|DLIHBSTCSK10-2|3000020203|IS-AIS C-Lind.Typ HB M10 x 70-R  w.CSS|ZHAW
TimeXtender|LILC06|DLILC06|3000020207|IS-AIS C-Lindapter TYP LC M 6-EP|ZHAW
TimeXtender|LILS12|DLILS12|3000022032|LINDAPTER TYP LS M12|ZHAW
TimeXtender|LIP1S08|DLIP1S08|3000020220|IS-AIS C-Lindapter TYP P1 M 8-EP  T=4mm|ZHAW
TimeXtender|0372.000-00004|G0372.000-00004|3000021368|GA-SA W-SIC 28/15  A4-( M 8 + M10 )|ZHAW
TimeXtender|0380.010-00003|G0380.010-00003|3000021374|CA-SA LN-GWP 20/12  EP-M06|ZHAW
TimeXtender|0380.020-00007|G0380.020-00007|3000021381|CA-SA LN-GWP 28/15  A4-M08|ZHAW
TimeXtender|0380.040-00009|G0380.040-00009|3000021388|CA-SA LN-GWP 38/17  A4-M06|ZHAW
TimeXtender|0380.050-00005|G0380.050-00005|3000021395|CA-SA LN-GWP 40/22  EP-M12|ZHAW
TimeXtender|0380.060-00004|G0380.060-00004|3000021402|CA-SA LN-GWP 41/22  EP-M12 nG|ZHAW
TimeXtender|0380.070-00003|G0380.070-00003|3000021409|CA-SA LN-GWP 50/30  EP-M12|ZHAW
TimeXtender|0380.078-00002|G0380.078-00002|3000021416|CA-SA LN-GWP 50/30  HDG-M16|ZHAW
TimeXtender|0380.080-00009|G0380.080-00009|3000021423|CA-SA LN-GWP 50/40  A4-M12|ZHAW
TimeXtender|0385.030-00005|G0385.030-00005|3000021430|GA-SA HHB-HSK M08 x  25 EP-DIN 933|ZHAW
Michel Delta|0201022023_E80|C0201022023_E80|60000089|SC CRET SET 122 V75 SEISMIC E80|ZNLA
Michel Delta|0201024021_E100|C0201024021_E100|60000096|SC CRET SET 124 V28 SEISMIC E100|ZNLA
Michel Delta|0201024023_E120|C0201024023_E120|60000103|SC CRET SET 124 V75 SEISMIC E120|ZNLA
Michel Delta|0201028022_E80|C0201028022_E80|60000110|SC CRET SET 128 V50 SEISMIC E80|ZNLA
Michel Delta|0201034020_E100|C0201034020_E100|60000117|SC CRET SET 134 SEISMIC E100|ZNLA
Michel Delta|0201034022_E120|C0201034022_E120|60000124|SC CRET SET 134 V50 SEISMIC E120|ZNLA
Michel Delta|0201040021_E80|C0201040021_E80|60000131|SC CRET SET 140 V32 SEISMIC E80|ZNLA
Michel Delta|0201040023_E100|C0201040023_E100|60000138|SC CRET SET 140 V75 SEISMIC E100|ZNLA
Michel Delta|HLD35_SET|EHLD35_SET|60000145|SC HLD SET 35|ZNLA
Michel Delta|HLDQ35_SET|EHLDQ35_SET|60000152|SC HLDQ SET 35|ZNLA
TimeXtender|0736.060-00002|G0736.060-00002|7000200418|LS-KKT-RF-6137-2.0/2.5|ZROH
TimeXtender|0741.040-00003|G0741.040-00003|7000200425|LS-HDHA-NP-6358-RD16|ZROH
TimeXtender|0741.090-00007|G0741.090-00007|7000200432|LS-HDHA-NP-6512-RD30|ZROH
TimeXtender|0741.120-00009|G0741.120-00009|7000200439|LS-HA-SPL-6359-RD42|ZROH
TimeXtender|0741.190-00002|G0741.190-00002|7000200446|LS-HD-NP-6369-1.3-RD16|ZROH
TimeXtender|0741.230-00003|G0741.230-00003|7000200453|LS-HDHA-NP-6522 cone recess-H20-M16|ZROH
TimeXtender|0742.040-00003|G0742.040-00003|7000200460|LS-TLL-6311-1.2-RD16|ZROH
TimeXtender|0742.140-00003|G0742.140-00003|7000200467|LS-HDHA-SHAD-6366-4.0-RD20|ZROH
TimeXtender|0742.170-00006|G0742.170-00006|7000200474|LS-HD-PFH-6377-10.0-RD36|ZROH
TimeXtender|0742.230-00002|G0742.230-00002|7000200481|LS-HD-RHLC-6367-2.5-RD16-EPS|ZROH
TimeXtender|9602.050-00150|G9602.050-00150|40000029|STRAP BUCKLE METAL 31MM|ZVER
TimeXtender|9602.070-00146|G9602.070-00146|40000036|SAC DOUBLE BAGS 50*70|ZVER
TimeXtender|9602.120-00157|G9602.120-00157|40000042|SAC CLOSURE 1,4 X 380|ZVER
TimeXtender|9602.170-00983|G9602.170-00983|40000049|1-WAY PALLET PLASTIC (120*80 CM)|ZVER
Frank VERPS|Not Available|40000056|40000056|Bundle max. length 6m|ZVER
Frank VERPS|Not Available|40000063|40000063|Carton 010 (49*40*27 cm)|ZVER
Frank VERPS|Not Available|40000070|40000070|Storage frame - fixed|ZVER
Frank VERPS|Not Available|40000077|40000077|4-way pallet HT (115 x 74 cm)|ZVER
Frank VERPS|Not Available|40000084|40000084|Wooden Crate (110x60x50cm)|ZVER
Frank VERPS|Not Available|40000091|40000091|Bundle max. length 10m|ZVER
Michel Delta|0451105030_50|C0451105030_50|1000201635|AC CRET SILENT 992P E50 S2|ZFER
Michel Delta|0451107030_20|C0451107030_20|1000201642|AC CRET SILENT 994P E20 S2|ZFER
Michel Delta|0451105040_40|C0451105040_40|1000201649|AC CRET SILENT F 992 HLP E40 S2|ZFER
Michel Delta|0451106040_60|C0451106040_60|1000201656|AC CRET SILENT F 993 HLP E60 S2|ZFER
Michel Delta|0205000508_SC|C0205000508_SC|1000201663|SC CRET 508 M Welded (SC)|ZFER
Michel Delta|BOLZEN24X85_SC|EBOLZEN24X85_SC|1000201670|BOLZEN 1.4429 M24X85MM Milled (SC)|ZFER
Michel Delta|0200500020_195|C0200500020_195|1000201677|SC CRET10 F 20/195 S2|ZFER
Michel Delta|0200510020_320|C0200510020_320|1000201684|SC CRET10 FV 20/320 S2 V20|ZFER
Michel Delta|0201022032_E80|C0201022032_E80|1000201691|SC CRET 122 FV25 SEISMIC E80|ZFER
Michel Delta|0201022034_E100|C0201022034_E100|1000201698|SC CRET 122 FV75 SEISMIC E100|ZFER
TimeXtender|0736.010-00004|G0736.010-00004|7000200412|LS-KKT-RF-6131-5.0|ZROH
TimeXtender|0736.150-00001|G0736.150-00001|7000200419|LS-KKT-RF-6134-2.5|ZROH
TimeXtender|0741.040-00005|G0741.040-00005|7000200426|LS-HDHA-NP-6358-RD20|ZROH
TimeXtender|0741.090-00008|G0741.090-00008|7000200433|LS-HDHA-NP-6512-RD36|ZROH
TimeXtender|0741.170-00001|G0741.170-00001|7000200440|LS-HDHA-DCSP-6363-1.3-RD12|ZROH
TimeXtender|0741.190-00003|G0741.190-00003|7000200447|LS-HD-NP-6369-1.3-RD20|ZROH
TimeXtender|0741.230-00004|G0741.230-00004|7000200454|LS-HDHA-NP-6522 cone recess-H20-M18|ZROH
TimeXtender|0742.040-00005|G0742.040-00005|7000200461|LS-TLL-6311-2.0-RD20|ZROH
TimeXtender|0742.140-00004|G0742.140-00004|7000200468|LS-HDHA-SHAD-6366-5.0-RD24|ZROH
TimeXtender|0742.170-00007|G0742.170-00007|7000200475|LS-HD-PFH-6377-12.5-RD42|ZROH
TimeXtender|0027.020-00005|G0027.020-00005|1000200666|CC-CG HKW- 80/6 HDG-2000/4|ZFER
TimeXtender|0027.030-00003|G0027.030-00003|1000200672|CC-CG HKW- 100/8 HDG-1000/2|ZFER
TimeXtender|0040.020-00001|G0040.020-00001|1000200679|PC-WC-HVL-E--HDG|ZFER
TimeXtender|0053.020-00009|G0053.020-00009|1000200686|HBS-05 - S-16/ 400|ZFER
TimeXtender|0053.020-00018|G0053.020-00018|1000200693|HBS-05 - S-28/ 400|ZFER
TimeXtender|0058.010-00001|G0058.010-00001|1000200700|PC-HLB-S-80|ZFER
TimeXtender|0058.040-00004|G0058.040-00004|1000200707|PC-HLB-M-50/250|ZFER
TimeXtender|0060.009-00001|G0060.009-00001|1000200714|HSC-SK Sonder|ZFER
TimeXtender|0071.010-00006|G0071.010-00006|1000200721|LS-TPA-RC-R1-10.0-PU|ZFER
TimeXtender|0071.040-00003|G0071.040-00003|1000200728|LS-TPA-RC-F2-2.5-L7.5m|ZFER
TimeXtender|0740.130-00021|G0740.130-00021|1000201377|LS-HD-TLA-6360-1.3-L70-RD12-A4|ZFER
TimeXtender|0740.130-00041|G0740.130-00041|1000201384|LS-HD-TLA-6360-25.0-L630-RD64-EPS|ZFER
TimeXtender|0740.140-00009|G0740.140-00009|1000201391|LS-HD-TRA-6361-1.3-L300-RD12-A4|ZFER
TimeXtender|0740.160-00004|G0740.160-00004|1000201398|LS-HD-TLA-6360-5.0-L325-RD24-wSP-EPS|ZFER
TimeXtender|0740.160-00012|G0740.160-00012|1000201405|LS-HD-TLA-6360-5.0-L325-RD24-wSP-A4|ZFER
TimeXtender|0740.160-00019|G0740.160-00019|1000201412|LS-HD-TLA-6360-1.3-L70-RD12-wSP-EPS|ZFER
TimeXtender|0740.160-00026|G0740.160-00026|1000201419|LS-HD-TLA-6360-1.3-L100-RD12-wSP-EPS|ZFER
TimeXtender|0740.160-00034|G0740.160-00034|1000201426|LS-HD-TLA-6360-7.5-L185-RD30-wSP-A4|ZFER
TimeXtender|0740.180-00003|G0740.180-00003|1000201433|LS-HD-TPLA-6370-4.0-L72-RD20-EPS|ZFER
TimeXtender|0740.190-00002|G0740.190-00002|1000201440|LS-HD-TLS-6376-2.5-L70-RD16-EPS|ZFER
TimeXtender|0111.019-00001|G0111.019-00001|1000200746|BS-AS-KW-SK-A4|ZFER
TimeXtender|0121.010-00804|G0121.010-00804|1000200752|HTA ES-49/30-A4-150-KF-130/10|ZFER
TimeXtender|0132.010-00006|G0132.010-00006|1000200759|WTR-CT-WST-ML-180-HDG|ZFER
TimeXtender|0132.030-00005|G0132.030-00005|1000200766|WTR-CT-WST-MLQ-E-120-HDG|ZFER
TimeXtender|0132.060-00002|G0132.060-00002|1000200772|WTR-CT-WST-BLQ-D-120-A4|ZFER
TimeXtender|0156.020-00001|G0156.020-00001|1000200779|BS-A-HK-AW-3-43/20/3x25-A4|ZFER
TimeXtender|0181.000-00004|G0181.000-00004|1000200786|SF-G-UHA-5-2-210-A4|ZFER
TimeXtender|0181.000-00012|G0181.000-00012|1000200793|SF-G-UHA-7-2-300-A4|ZFER
TimeXtender|0211.010-00001|G0211.010-00001|1000200800|SF-SUK-F-5,0-435-k160-240-MON-A4|ZFER
TimeXtender|0227.000-00009|G0227.000-00009|1000200807|NAS H- 5-150-A4|ZFER
Michel Delta|0451106030_20|C0451106030_20|1000201637|AC CRET SILENT 993P E20 S2|ZFER
Michel Delta|0451107030_40|C0451107030_40|1000201644|AC CRET SILENT 994P E40 S2|ZFER
Michel Delta|0451105040_60|C0451105040_60|1000201651|AC CRET SILENT F 992 HLP E60 S2|ZFER
Michel Delta|0451107040_30|C0451107040_30|1000201658|AC CRET SILENT F 994 HLP E30 S2|ZFER
Michel Delta|0203013002_SC|C0203013002_SC|1000201665|SC CRET 504/508/512/515 V20 F Weld. (SC)|ZFER
Michel Delta|BOLZEN30X145_SC|EBOLZEN30X145_SC|1000201672|BOLZEN 1.4429 M30X145MM Milled (SC)|ZFER
Michel Delta|0200500020_270|C0200500020_270|1000201679|SC CRET10 F 20/270 S2|ZFER
Michel Delta|0201022030_E100|C0201022030_E100|1000201686|SC CRET 122 M SEISMIC E100|ZFER
Michel Delta|0201022032_E120|C0201022032_E120|1000201693|SC CRET 122 FV25 SEISMIC E120|ZFER
Michel Delta|0201024030_E80|C0201024030_E80|1000201700|SC CRET 124 M SEISMIC E80|ZFER
TimeXtender|0566.010-00010|G0566.010-00010|3000022010|CS-HBS-05-S-22 Gew.Muffe|ZHAW
TimeXtender|0566.010-00204|G0566.010-00204|3000021591|CS-HBS-05-S-16 Gew.Muffe (CH)|ZHAW
TimeXtender|0716.150-00009|G0716.150-00009|3000021614|3126-40-15-20 Abstandshalter|ZHAW
TimeXtender|0718.010-00004|G0718.010-00004|3000021621|DIS 40x60x10 -KS, mS|ZHAW
TimeXtender|0718.020-00006|G0718.020-00006|3000021628|DIS 45x75x20 -KS, oS|ZHAW
TimeXtender|0725.020-00005|G0725.020-00005|3000021646|HBS-05-20 -KS Nagelteller|ZHAW
TimeXtender|0729.110-00003|G0729.110-00003|3000022680|SC HSD SET 25/300 S3|ZHAW
TimeXtender|0730.010-00002|G0730.010-00002|3000022687|SC HSD CRET SET 124|ZHAW
TimeXtender|0730.020-00004|G0730.020-00004|3000022694|SC HSD CRET SET-V 134|ZHAW
TimeXtender|0730.170-00003|G0730.170-00003|3000022701|SC HSD CRET10 SET-P 20/300 S3|ZHAW
TimeXtender|0730.320-00001|G0730.320-00001|3000022702|SC HSD FPC 122/20|ZHAW
TimeXtender|0730.330-00006|G0730.330-00006|3000022709|SC HSD FPC 128 30 V|ZHAW
TimeXtender|0735.010-00068|G0735.010-00068|3000022713|LS-KKT-SHA-6000-15.0-L840-MF|ZHAW
TimeXtender|0735.050-00003|G0735.050-00003|3000021659|LS-KKT-SHEA-6001-5.0-L120-MF|ZHAW
TimeXtender|0735.200-00069|G0735.200-00069|3000021666|LS-KKT-SHA-6000-1.3-L55-HDG|ZHAW
TimeXtender|0735.200-00127|G0735.200-00127|3000022720|LS-KKT-SHA-6000-15.0-L300-HDG|ZHAW
TimeXtender|0736.110-00002|G0736.110-00002|3000021677|LS-KKT-RF-6150-2.5-M12-MF|ZHAW
TimeXtender|0737.010-00003|G0737.010-00003|3000021683|LS-KKT-RVF-6015-5.0-PS|ZHAW
TimeXtender|0737.120-00002|G0737.120-00002|3000021690|LS-KKT-RVF-6172-15.0/20.0|ZHAW
TimeXtender|0740.040-00005|G0740.040-00005|3000022728|LS-HA-TLS-6372-2.0-L73-RD20-EPS-SET|ZHAW
TimeXtender|0756.020-00006|G0756.020-00006|3000022798|SF-B-DH-1716-2-k160-A4|ZHAW
TimeXtender|0816.030-00007|G0816.030-00007|3000022805|9524-070-3, SET, MS, FV|ZHAW
TimeXtender|0819.010-00006|G0819.010-00006|3000021774|9436-020-M-1- WB|ZHAW
TimeXtender|0820.025-00101|G0820.025-00101|3000021781|DT-Setzd.mess.1150 Miete|ZHAW
TimeXtender|0950.240-00004|G0950.240-00004|3000022812|PC-WC-HEK2 RF-SET-160|ZHAW
TimeXtender|0952.010-00009|G0952.010-00009|3000021789|PC-CC-HCC APC-A1 M-45|ZHAW
TimeXtender|0970.060-00003|G0970.060-00003|3000022818|AC HBB-20-SET|ZHAW
TimeXtender|1060.410-00003|G1060.410-00003|3000021794|HSC-B FI-M27|ZHAW
TimeXtender|1060.510-00007|G1060.510-00007|3000022827|HSCC 20- 5-1-FV Set|ZHAW
TimeXtender|2058.180-40060|G2058.180-40060|3000021802|FDB II 18 / 4- 60|ZHAW
TimeXtender|0742.170-00002|G0742.170-00002|7000200470|LS-HD-PFH-6377-2.5-RD16|ZROH
TimeXtender|0742.190-00003|G0742.190-00003|7000200477|LS-TLL-6311-2.0-RD20-wS|ZROH
TimeXtender|0742.230-00005|G0742.230-00005|7000200484|LS-HD-RHLC-6367-7.5-RD30-EPS|ZROH
TimeXtender|0970.010-00003|G0970.010-00003|7000200491|AC HBB-20-F|ZROH
Michel Delta|960000005|C0960000005|7000200498|STOP AND CLAMPING ANGLE 175 L|ZROH
Michel Delta|960000012|C0960000012|7000200505|TORCH CAP 45-105A|ZROH
Michel Delta|960000019|C0960000019|7000200512|PRESSURE REDUCING VALVE MODEL 651 WITH|ZROH
Michel Delta|960000026|C0960000026|7000200519|NOZZLE G2326Y-O2-280A|ZROH
Michel Delta|960000033|C0960000033|7000200526|NOZZLE SPRAY BINZEL SILICONE FREE|ZROH
Michel Delta|960000040|C0960000040|7000200533|ELECTRODE PMX 45-105A|ZROH
TimeXtender|0159.030-00003|G0159.030-00003|3000020830|BS-A-HGA-HIP-3-410x50-KS|ZHAW
TimeXtender|0170.000-00006|G0170.000-00006|3000022086|SF-G-UMA-12-1-120-A4|ZHAW
TimeXtender|0170.000-00025|G0170.000-00025|3000022093|SF-G-UMA-18-1-180-A4|ZHAW
TimeXtender|0170.000-00032|G0170.000-00032|3000022100|SF-G-UMA-22-1-180-A4|ZHAW
TimeXtender|0170.000-00039|G0170.000-00039|3000022107|SF-G-UMA-22-1-390-A4|ZHAW
TimeXtender|0170.000-00063|G0170.000-00063|3000022114|SF-G-UMA-33-1-410-A4|ZHAW
TimeXtender|0170.010-00009|G0170.010-00009|3000022121|SF-G-UMA-12-1-210-A2|ZHAW
TimeXtender|0172.000-00071|G0172.000-00071|3000022128|SF-G-UMA-16-3-210-RL6,1-A4|ZHAW
TimeXtender|0180.000-00002|G0180.000-00002|3000022135|SF-G-UHA-5-1-150-A4|ZHAW
TimeXtender|0180.000-00009|G0180.000-00009|3000022142|SF-G-UHA-7-1-210-A4|ZHAW
TimeXtender|0052.070-00003|G0052.070-00003|1000001237|FI-4010- 12-M16x 840- B500B-GV|ZFER
TimeXtender|0052.070-00112|G0052.070-00112|1000001263|FI-4010- 20-M24x 705- B500B-FV|ZFER
TimeXtender|0054.010-00005|G0054.010-00005|1000001290|HBT  55-10/20-1250 (30) TYP 1|ZFER
TimeXtender|0054.020-00002|G0054.020-00002|1000001299|HBT  85-10/20-1250 (30) TYP 1|ZFER
TimeXtender|0054.020-00102|G0054.020-00102|1000001307|HBT  85-10/15- 800 (30) TYP 1|ZFER
TimeXtender|0054.040-00006|G0054.040-00006|1000001318|HBT 120-10/25-1250 (30) TYP 5|ZFER
TimeXtender|0054.050-00003|G0054.050-00003|1000001329|HBT 150- 8/25-1250 (24) TYP 5|ZFER
TimeXtender|0054.050-00101|G0054.050-00101|1000001338|HBT 150- 8/15- 800 (24) TYP 5|ZFER
TimeXtender|0054.060-00011|G0054.060-00011|1000001354|HBT 190-12/10 -1250 (36) TYP 5|ZFER
TimeXtender|0054.070-00008|G0054.070-00008|1000001369|HBT 220-12/20-1250 (36) TYP 5|ZFER
TimeXtender|ISO-EKB|EISO-EKB|3000020329|ISO-EKB|ZHAW
TimeXtender|ISO-KC|EISO-KC|3000020336|ISO-KC|ZHAW
TimeXtender|ISO-KPB|EISO-KPB|3000020343|ISO-KPB|ZHAW
TimeXtender|ISO-MD|EISO-MD|3000020350|ISO-MD|ZHAW
TimeXtender|ISO-OC|EISO-OC|3000020357|ISO-OC|ZHAW
TimeXtender|ISO-QD|EISO-QD|3000020364|ISO-QD|ZHAW
TimeXtender|ISO-SA|EISO-SA|3000020371|ISO-SA|ZHAW
TimeXtender|ISO-UP|EISO-UP|3000020378|ISO-UP|ZHAW
TimeXtender|ISO-UXV|EISO-UXV|3000020385|ISO-UXV|ZHAW
TimeXtender|KGP24KUGEL25|EKGP24KUGEL25|3000020392|Kugel zu KGP 24/27/30/33 mit Loch ø25|ZHAW
TimeXtender|0281.020-00003|G0281.020-00003|1000002237|IS-MSS MD-HL 41/22 SZP -6000 LL14,0x28|ZFER
TimeXtender|0281.060-00001|G0281.060-00001|1000002248|IS-CMC LD-HL 28/28 MF -6000 LL12,5x25|ZFER
TimeXtender|0281.090-00001|G0281.090-00001|1000002256|IS-CMC LD-HL 20/12 MF -6000 LL9x25|ZFER
TimeXtender|0283.010-00003|G0283.010-00003|1000002266|IS-MSS MD-HZL 41/41 A4 -6000|ZFER
TimeXtender|0284.010-00002|G0284.010-00002|1000002277|IS-MSS MD-HZM 41/41 HDG -6000|ZFER
TimeXtender|0284.040-00001|G0284.040-00001|1000002301|IS-MSS MD-HZM 41/22-D MF -6070|ZFER
TimeXtender|0771.010-00023|G0771.010-00023|1000003153|CSF-FA 1- 200 0120-A4 FA SA|ZFER
TimeXtender|0771.020-00002|G0771.020-00002|1000003169|CSF-FA 2- 175 0080-A4 FA SA|ZFER
TimeXtender|0771.020-00013|G0771.020-00013|1000003179|CSF-FA 2- 200 0120-A4 FA SA|ZFER
TimeXtender|0771.020-00020|G0771.020-00020|1000003186|CSF-FA 2-200-0400-A4 FA SA|ZFER
Michel Delta|0200550020_220|C0200550020_220|3000021812|SC CRET10 FP 20/220 P|ZHAW
Roman&Eline|DUMM0001.919-00050|DUMM0001.919-00050|3000021820|Dummy FPA Range|ZHAW
Roman&Eline|DUMM0001.919-00075|DUMM0001.919-00075|3000021828|Dummy HL/HM/HZL/HZM Range - <50, WB, FV|ZHAW
Roman&Eline|DUMM0001.919-00062|DUMM0001.919-00062|3000021842|Dummy HSC Range - 045, 0044, B11|ZHAW
Roman&Eline|DUMM0001.919-00012|DUMM0001.919-00012|3000021849|Dummy HTA/HZA Range|ZHAW
Roman&Eline|DUMM0001.919-00070|DUMM0001.919-00070|3000021873|Dummy TPA Range|ZHAW
Roman&Eline|0062.010-00004|0062.010-00004|3000021880|HBS BRS-B500B-D=18mm FIX SIA (CH)|ZHAW
Roman&Eline|0001.919-00073|0001.919-00073|3000021887|HBS BRS-B500B-D=12mm BGS SIA (CH)|ZHAW
Roman&Eline|0001.919-00080|0001.919-00080|3000021894|HBS BRS-B500B-D=30mm BGS SIA (CH)|ZHAW
Roman&Eline|0053.900-00005|0053.900-00005|3000021902|HBS-05 - A -20 (CH)|ZHAW
TimeXtender|0350.090-00057|G0350.090-00057|3000021230|CA-TB HS 50/30 EPS-8.8 M16 x 040|ZHAW
TimeXtender|0350.090-00073|G0350.090-00073|3000021241|CA-TB HS 50/30 EPS-8.8 M20 x 060|ZHAW
TimeXtender|0350.090-00082|G0350.090-00082|3000021249|CA-TB HS 50/30 EPS-8.8 M20 x 150|ZHAW
TimeXtender|0350.090-00112|G0350.090-00112|3000021256|CA-TB HS 50/30 HDG-4.6 M12 x 060|ZHAW
TimeXtender|0350.090-00119|G0350.090-00119|3000021263|CA-TB HS 50/30 HDG-4.6 M20 x 080|ZHAW
TimeXtender|0350.090-00129|G0350.090-00129|3000021270|CA-TB HS 50/30 HDG-8.8 M20 x 100|ZHAW
TimeXtender|0350.100-00001|G0350.100-00001|3000021277|CA-TB HS 72/48 A4-50 M30 x 050|ZHAW
TimeXtender|0350.100-00008|G0350.100-00008|3000021284|CA-TB HS 72/48 HDG-4.6 M24 x 050|ZHAW
TimeXtender|0350.100-00019|G0350.100-00019|3000021291|CA-TB HS 72/48 HDG-4.6 M30 x 100|ZHAW
TimeXtender|0351.070-00002|G0351.070-00002|3000021298|CA-TB HSR 40/22 EPS-8.8 M16 x 060|ZHAW
Roman&Eline|0062.010-00010|0062.010-00010|3000021886|HBS BRS-B500B-D=40mm FIX SIA (CH)|ZHAW
Roman&Eline|0001.919-00079|0001.919-00079|3000021893|HBS BRS-B500B-D=26mm BGS SIA (CH)|ZHAW
Roman&Eline|0053.900-00004|0053.900-00004|3000021901|HBS-05 - A -18 (CH)|ZHAW
Roman&Eline|0053.920-00001|0053.920-00001|3000021908|HBS-05 - AL -12 (CH)|ZHAW
Roman&Eline|0053.920-00008|0053.920-00008|3000021915|HBS-05 - AL -30 (CH)|ZHAW
Roman&Eline|0566.310-00005|0566.310-00005|3000021922|HBS-05 - AP -20 (CH)|ZHAW
Roman&Eline|0566.300-00006|0566.300-00006|3000021929|HBS-05 - EP -22 (CH)|ZHAW
Roman&Eline|0725.200-00003|0725.200-00003|3000021936|HBS-05 - P -16 -Komplett (CH)|ZHAW
Roman&Eline|0725.200-00010|0725.200-00010|3000021943|HBS-05 - P -40 -Komplett (CH)|ZHAW
Roman&Eline|0053.930-00007|0053.930-00007|3000021950|HBS-05 - RDZ -22/18 (CH)|ZHAW
TimeXtender|0056.120-00007|G0056.120-00007|3000020728|HBT CISA k-150 10/15-1200|ZHAW
TimeXtender|0056.140-00001|G0056.140-00001|3000020735|HBT CISA 240 10/15-1200|ZHAW
TimeXtender|0056.210-00003|G0056.210-00003|3000020742|HBT CH- 85-12/15-x-0850 TYP 2|ZHAW
TimeXtender|0056.230-00005|G0056.230-00005|3000020749|HBT CH-120- 8/15-0850 TYP 5|ZHAW
TimeXtender|0056.240-00004|G0056.240-00004|3000020756|HBT CH-150-10/20-0850 TYP 5|ZHAW
TimeXtender|0056.240-00015|G0056.240-00015|3000020763|HBT CH-150-12/15y- 850 TYP 5|ZHAW
TimeXtender|0056.250-00011|G0056.250-00011|3000020770|HBT CH-k2-190-10/20y-0850 TYP7|ZHAW
TimeXtender|0056.260-00003|G0056.260-00003|3000020777|HBT CH-220-10/15-0850 TYP 5|ZHAW
TimeXtender|0056.260-00013|G0056.260-00013|3000020784|HBT CH-220-14/15z- 850 TYP 5|ZHAW
TimeXtender|0056.270-00011|G0056.270-00011|3000020791|HBT CH-280-14/15z- 850 TYP 4|ZHAW
TimeXtender|0245.090-00001|G0245.090-00001|3000022514|SCF-HKZ GU- 38/17 200 -A4 HA RT|ZHAW
TimeXtender|0245.100-00004|G0245.100-00004|3000022521|SCF-HKZ GU- 50/30 275 -A4 HA RT|ZHAW
TimeXtender|0249.010-00002|G0249.010-00002|3000020835|SCF-HFV 1- 5,0 kN  -PVC HA DR|ZHAW
TimeXtender|0250.110-00006|G0250.110-00006|3000022528|SCF-WDI Mortar Set-  - HA WA-AC|ZHAW
TimeXtender|0250.160-00002|G0250.160-00002|3000022535|SCF-BRA M2- 2  -A4 PAC INS|ZHAW
TimeXtender|0261.020-00003|G0261.020-00003|3000022542|SCF-KAL-60/6-150-A4 HA CA (CH)|ZHAW
TimeXtender|0261.070-00010|G0261.070-00010|3000022549|SCF-ERU-4,0-180-A4 HA R (CH)|ZHAW
TimeXtender|0261.140-00005|G0261.140-00005|3000022556|SCF-DS S- M12 WA=180- HA SBHA-(CH)|ZHAW
TimeXtender|0261.140-00012|G0261.140-00012|3000022563|SCF-DS S- M20 WA=120- HA SBHA-(CH)|ZHAW
TimeXtender|0261.140-00019|G0261.140-00019|3000022570|SCF-DS S- M16 WA=220- HA SBHA-(CH)|ZHAW
TimeXtender|0730.020-00005|G0730.020-00005|3000022695|SC HSD CRET SET-V 140|ZHAW
TimeXtender|0730.190-00006|G0730.190-00006|3000021649|SC HSD CRET10 FP 20/170 P|ZHAW
TimeXtender|0730.320-00002|G0730.320-00002|3000022703|SC HSD FPC 122/30|ZHAW
TimeXtender|0735.010-00003|G0735.010-00003|3000021655|LS-KKT-SHA-6000-1.3-L50-MF|ZHAW
