OldProductHierarchyNode;NewProductHierarchyNode
AFIISOCK1007500272;AFIISOCK1007500197
AFIISOCK1007600240;AFIISOCK1007600195
AFIISOCK1007600242;AFIISOCK1007600196
AFIISOCK1007600261;AFIISOCK1007600197
AFIISOCK1007600262;AFIISOCK1007600198
AFIISOCK1007600273;AFIISOCK1007600207
AFIISOCK1007600274;AFIISOCK1007600193
AFIISOCK1007600275;AFIISOCK1007600194
AFIISOCK1007600276;AFIISOCK1007600195
AFIISOCK1007600277;AFIISOCK1007600196
AFIISOCK1007600278;AFIISOCK1007600197
AFIISOCK1007600279;AFIISOCK1007600198
AFIISOCK9007700280;AFIISOCK9007700207
AFIISOCK9007701519;AFIISOCK9007700194
AFIISOCK9007800033;AFIISOCK9007800196
AFIISOCK9007800281;AFIISOCK9007800195
AFIISOCK9007800282;AFIISOCK9007800196
AFIISOCK9007800283;AFIISOCK9007800197
AFIISOCK9007800284;AFIISOCK9007800198
AFIISOCK9007800285;AFIISOCK9007800199
AFIISOCK9007900240;AFIISOCK9007900195
AFIISOCK9007900242;AFIISOCK9007900196
AFIISOCK9007900261;AFIISOCK9007900197
AFIISOCK9007900262;AFIISOCK9007900198
AFIISOCK9007900263;AFIISOCK9007900199
AFIISOCK9007900274;AFIISOCK9007900193
AFIISOCK9007900275;AFIISOCK9007900194
AFIISOCK9007900286;AFIISOCK9007900193
AFIISOCK9007900287;AFIISOCK9007900194
AFIISOCK9007900288;AFIISOCK9007900195
AFIISOCK9007900289;AFIISOCK9007900196
AFIISOCK9007900290;AFIISOCK9007900197
AFIISOCK9007900291;AFIISOCK9007900198
AFIISOCK9007900292;AFIISOCK9007900199
AFIISOCK9008000293;AFIISOCK9008000207
AFIISOCK9008000294;AFIISOCK9008000193
AFIISOCK9008001512;AFIISOCK9008000207
AFIISOCK9008001513;AFIISOCK9008000193
AFIISOCKA008200296;AFIISOCKA008200194
AFIISOCKA008200297;AFIISOCKA008200207
AFIISOCKC008300033;AFIISOCKC008300196
AFIISOCKC008300298;AFIISOCKC008300196
AFIISOCKD008400033;AFIISOCKD008400196
AFIISOCKD008400299;AFIISOCKD008400196
AFIISOCKP008500033;AFIISOCKP008500196
AFIISOCKP008500300;AFIISOCKP008500194
AFIISOCKP008500301;AFIISOCKP008500195
AFIISOCKP008500302;AFIISOCKP008500196
AFIISOCKP008500303;AFIISOCKP008500197
AFIISOCKP008500304;AFIISOCKP008500198
AFIISOCKS0453;AFIISOCKS0400
AFIISOCKS045301414;AFIISOCKS040001918
AFIISOCKS0454;AFIISOCK10076
AFIISOCKS045400193;AFIISOCK1007600193
AFIISOCKS045400207;AFIISOCK1007600207
AFIISOCKS045401415;AFIISOCK1007600194
AFIISOCKS045401416;AFIISOCK1007600195
AFIISOCKS045401417;AFIISOCK1007600196
AFIISOCKS045401418;AFIISOCK1007600197
