OldProductHierarchyNode;NewProductHierarchyNode
MWALMOVEH036001238;MWALMOVEH033601821
MWALTIES;MWALTIEC
MWALTIESH0363;MWALTIECH0336
MWALTIESH036301240;MWALTIECH033601825
MWALTIESH036301241;MWALTIECH033601826
MWALTIESH036301547;MWALTIECH033601547
MWALTIESH036301548;MWALTIECH033601548
MWALWSRTH0364;MWALWSRTH0336
MWALWSRTH036401242;MWALWSRTH033601813
RREICLERT038101288;RREICLERT038100196
RREICLERT038101289;RREICLERT038100197
RREICORBC044901408;RREICORBC044900196
RREICORBC044901409;RREICORBC044900197
RREIDURAD0464;RREIDURAD0501
RREIDURAD046401909;RREIDURAD050101498
RREIHCCTH038301294;RREIHCCTH038300195
RREIHCCTH038301295;RREIHCCTH038300196
RREIHCCTH038301296;RREIHCCTH038300197
RREIHCCTH038401298;RREIHCCTH038400196
RREIHCCTH038401299;RREIHCCTH038400197
RREIPUNCS038501301  ;RREIPUNCS038501301
RREIREIFR0425;RREIREIFR0378
RREIREIFR042501353;RREIREIFR037801897
RREISHECC038701577;RREISHECC038701507
RREISHECH038801576;RREISHECH038801898
RREISHECS0487;RREISHECD0463
RREISHECS048701484;RREISHECD046301899
RREISHECS0490;RREISHECE0009
RREISHECS049001487;RREISHECE000901901
RREISHECS0493;RREISHECS0427
RREISHECS049301490;RREISHECS042701903
RREISHECS0494;RREISHECE0010
RREISHECS049401491;RREISHECE001001902
RREISHECS0496;RREISHECH0417
RREISHECS049601493;RREISHECH041701900
RREISHECS0499;RREISHECC0387
RREISHECS049901496;RREISHECC038701507
RREISTUDH0393;RREISTUDH0118
RREISTUDH039301307;RREISTUDH011801905
