Region;CountryCode;SAPShippingPoint;WarehouseName;Type;SAPCode;WarehouseType;Address;Zipcode;City;LogisticsAreaInM2;FTELogistics;FullAddress
Europe;IT;;Leviat Italy;Leviat;IT01;Local warehouse;Via F.lli Bronzetti 28;24124;Bergamo;;;Italy Via F.lli Bronzetti 28 24124 Bergamo
Europe;IT;ITS1 Gamma Trasporti (ITS1);Gamma Trasporti;3PL;ITS1;3PL warehouse;Via B. Buozzi 23/25;25125;Brescia;;;Italy Via B. Buozzi 23/25 25125 Brescia
Europe;IT;ITS2 Panza Basilio (ITS2);Panza Basilio;3PL;ITS2;3PL warehouse;Via Briantea 14;24030;Palazzago;;;Italy Via Briantea 14 24030 Palazzago
Europe;IT;;Chito Forniture;3PL;ITS3;3PL warehouse;Via Pascoli 8;24050;Cortenuova;;;Italy Via Pascoli 8 24050 Cortenuova
Europe;IT;ITS4 Paleni (ITS4);Paleni;3PL;ITS4;3PL warehouse;Viale Matteotti 43a;24050;Grassobbio;;;Italy Viale Matteotti 43a 24050 Grassobbio
Europe;IT;ITS5 Plastypiemonte (ITS5);Plastypiemonte s.r.l.;3PL;ITS5;3PL warehouse;Via Tommaso Agudio 10;10040;Leinì;;;Italy Via Tommaso Agudio 10 10040 Leinì
APAC;MY;;Leviat Malaysia;Leviat;;Local warehouse;28 Jalan Anggerik Mokara 31/59;40460;Kota Kemuning;;;Malaysia 28 Jalan Anggerik Mokara 31/59 40460 Kota Kemuning
Europe;NL;NLS1 Wecoat Sub co (NLS1);Wecoat;Subcon;NLS1;Subcontractor;Industrieweg 35;6039 AP;Stramproy;;;Netherlands Industrieweg 35 6039 AP Stramproy
Europe;NL;NLS2 Rotocoat Subco (NLS2);Rotocoat;Subcon;NLS2;Subcontractor;Aan de Schipsloot 13;8471 ZC;Wolvega;;;Netherlands Aan de Schipsloot 13 8471 ZC Wolvega
Europe;NO;;Leviat Stavanger;Leviat;;Local warehouse;Vestre Svanholmen 5;4313;Sandnes;;;Norway Vestre Svanholmen 5 4313 Sandnes
APAC;NZ;;Leviat Otahuhu;Leviat;;Local warehouse;246D James Fletcher Drive;2024;Otahuhu;;;New-Zealand 246D James Fletcher Drive 2024 Otahuhu
