SAPAccount;SAPAccountName;Category;Status
0059001214;Travel Costs - Credit Cards;Travel;Compliant
0059001215;Travel Costs - Car Rental;Travel;Compliant
0059001216;Travel Costs - Car milage&fuel comps  decutible;Travel;Compliant
0059001217;Travel Costs - Car milage&fuel comps non-decutible;Travel;Compliant
0059001218;Travel Costs - Conferences;Travel;Compliant
0059001700;Credit insurance costs;Insurance;Compliant
0059002800;Taxes - other ;Tax;Compliant
0059003700;Property Tax;Tax;Compliant
0059100100;Insurance claims;Insurance;Compliant
0059100300;Other Insurance income;Insurance;Compliant
0059100301;Other Insurance income Credit;Insurance;Compliant
0059100400;Other Insurance Costs;Insurance;Compliant
0059100403;Other Insurance Costs - Business interruption ;Insurance;Compliant
0059100404;Other Insurance Costs - Building Insurance;Insurance;Compliant
0059100405;Other Insurance Costs - Product Liability;Insurance;Compliant
0059100406;Other Insurance Costs - Transport;Insurance;Compliant
0059300400;Other consultancy / professional fees;Lawyers, consultancy & Management fees;Compliant
0059300500;Legal Fees;Lawyers, consultancy & Management fees;Compliant
0059300600;Consulting Fees;Lawyers, consultancy & Management fees;Compliant
0059300601;Court fees;Lawyers, consultancy & Management fees;Compliant
0059300602;Technical consulting fees;Lawyers, consultancy & Management fees;Compliant
0059300603;Professional services - New approvals;Lawyers, consultancy & Management fees;Compliant
0059300604;Professional services -  Product improvement;Lawyers, consultancy & Management fees;Compliant
0059300605;Professional services -  Approvals/Maintenance;Lawyers, consultancy & Management fees;Compliant
0059300606;Professional services - Other R&D costs;Lawyers, consultancy & Management fees;Compliant
0059300607;Professional services - Patent Attorney;Lawyers, consultancy & Management fees;Compliant
0059300608;Professional services - New Products;Lawyers, consultancy & Management fees;Compliant
0059300610;Professional services - R&D Small tool costs;Lawyers, consultancy & Management fees;Compliant
0059300620;Consulting Fees - IT Consulting;Lawyers, consultancy & Management fees;Compliant
0059300630;Consulting Fees -Pensions - non Group Auditor;Lawyers, consultancy & Management fees;Compliant
0059310100;Group auditors - audit fees;Lawyers, consultancy & Management fees;Compliant
0059310300;Other auditors - audit fee;Lawyers, consultancy & Management fees;Compliant
0059320100;Group auditors - tax fees;Lawyers, consultancy & Management fees;Compliant
0059320200;Other auditors - tax fees;Lawyers, consultancy & Management fees;Compliant
0061105554;Transport (IO clearing);Transport ;Compliant
0071120301;Lease interest - buildings leasehold;Leasing;Compliant
0071120302;Lease interest - company cars leasehold;Leasing;Compliant
0071120303;Lease interest - leased computer equipment;Leasing;Compliant
0071120304;Lease interest - leased fixtures and fittings;Leasing;Compliant
0071120305;Lease interest - leased transport;Leasing;Compliant
0071120306;Lease interest - machinery and equipment;Leasing;Compliant
0071120351;Lease interest - Land & Building - manual;Leasing;Compliant
0071120352;Lease interest - company cars leasehold - manual;Leasing;Compliant
0071120353;Lease interest - leased computer equipment -manual;Leasing;Compliant
0071120354;Lease interest - leased fixtures & fittings manual;Leasing;Compliant
0071120355;Lease interest - leased transport - manual;Leasing;Compliant
0071120356;Lease interest - machinery and equipment - manual;Leasing;Compliant
0075000200;Value based fee;Lawyers, consultancy & Management fees;Compliant
0075000300;CRH guarantee fees cost / (income);Lawyers, consultancy & Management fees;Compliant
0076000100;Ext Curr tax charge / (credit);Tax;Compliant
0076000101;Ext Curr tax charge /(credit) -advance payment;Tax;Compliant
0076000102;Ext Curr tax charge / (credit) - prior year;Tax;Compliant
0076000103;Ext Curr tax charge / (debit) - withh income tax;Tax;Compliant
0076000200;IC current tax charge / (credit);Tax;Compliant
0076000300;Total deferred tax charge - in-/decrease DTA;Tax;Compliant
0076000301;Total deferred tax charge - in-/decrease DTL;Tax;Compliant
0015334100;VAT & sales taxes;Tax;Compliant
0015334104;Import input tax;Tax;Compliant
0015334105;Input tax from intra-community supply;Tax;Compliant
0015334106;Input tax from intra-community services;Tax;Compliant
0015334108;Input tax PL for Germany;Tax;Compliant
0015334115;VAT & sales taxes - input tax reverse charge dom;Tax;Compliant
0021390100;VAT, sales & use tax;Tax;Compliant
0021390102;VAT, sales & use tax - Sales tax intra-comm supply;Tax;Compliant
0021390104;VAT, sales & use tax - rev.charge Services payable;Tax;Compliant
0021390106;VAT, sales & use tax - VAT payable amount ;Tax;Compliant
0021390107;VAT, sales & use tax - VAT payable amount PY;Tax;Compliant
0021390108;VAT, sales & use tax - Import Sales tax deductible;Tax;Compliant
0021390109;VAT, sales & use tax -VAT payable amount DE for AT;Tax;Compliant
0021390110;VAT, sales & use tax - Sales tax (VAT) PL for DE;Tax;Compliant
0021390119;VAT, sales & use tax - benefits in kind;Tax;Compliant
0021390120;VAT, sales & use tax - provision benefits in kind;Tax;Compliant
0021390121;VAT, sales & use tax - Intercompany/ tax group;Tax;Compliant
0021390125;VAT, sales &use tax - outp tax rev charge domestic;Tax;Compliant
0021392100;Accr realty&prop Tax;Tax;Compliant
0021392200;Accrued utilities;Tax;Compliant
0021393200;Other accruals;Tax;Compliant
0021393205;OthAcr COGS;Tax;Compliant
0021393206;OthAcr empl costs;Tax;Compliant
0021393207;OthAccr Transp Ware;Tax;Compliant
0021393214;OthAccr Out Invoice;Tax;Compliant
0021393215;OthAccr Empl Invent;Tax;Compliant
0021393217;OthAccr empl tar sur;Tax;Compliant
0021393220;OthAccr EmplLifeIns;Tax;Compliant
0021393221;OthAccr.SevDisComp;Tax;Compliant
0021393225;OthAccr Retent requ ;Tax;Compliant
0021393226;OthAccr IntYEClose;Tax;Compliant
0021393227;OthAccr Cust Duty;Tax;Compliant
0021320200;Holiday & vacation accrual;Tax;Compliant
0021320201;Holiday and vacation accrual - holiday allowance;Tax;Compliant
0021320302;Bonus accrual - prior year;Tax;Compliant
0021320300;Bonus accrual;Tax;Compliant
0021320202;Wages & salaries payable - X-mas bonus / 13th sal;Tax;Compliant
0021320204;Holiday and vacation accrual - Overtime;Tax;Compliant
0021320500;Taxes (payroll income) payable;Tax;Compliant
0021320400;Social sec. liabilities payable;Tax;Compliant
0021320100;Wages & salaries payable;Tax;Compliant
0021320106;Wages & salaries payable - garnishment;Tax;Compliant
0021320105;Wages & salaries payable - capital accum benefits;Tax;Compliant
0021320104;Wages & Salaries payable - Empl. Travel costs;Tax;Compliant
0021320103;Wages & Salaries payable - other rel. to salaries;Tax;Compliant
