SalesOrganizationID,CountryID,ZipCodeFrom,ZipCodeTo,SalesDistrictID
AT01,AT,2083,2083,AT_02
AT01,AT,2084,2084,AT_02
AT01,AT,2091,2091,AT_02
AT01,AT,2092,2092,AT_02
AT01,AT,2093,2093,AT_02
AT01,AT,2094,2094,AT_02
AT01,AT,2095,2095,AT_02
AT01,AT,2100,2100,AT_02
AT01,AT,2102,2102,AT_02
AT01,AT,2103,2103,AT_02
AT01,AT,2104,2104,AT_02
AT01,AT,2105,2105,AT_02
AT01,AT,2106,2106,AT_02
AT01,AT,2111,2111,AT_02
AT01,AT,2112,2112,AT_02
AT01,AT,2113,2113,AT_02
AT01,AT,2114,2114,AT_02
AT01,AT,2115,2115,AT_02
AT01,AT,2116,2116,AT_02
AT01,AT,2120,2120,AT_02
AT01,AT,2122,2122,AT_02
AT01,AT,2123,2123,AT_02
AT01,AT,2124,2124,AT_02
AT01,AT,2125,2125,AT_02
AT01,AT,2126,2126,AT_02
AT01,AT,2127,2127,AT_02
AT01,AT,2128,2128,AT_02
AT01,AT,2130,2130,AT_02
AT01,AT,2132,2132,AT_02
AT01,AT,2133,2133,AT_02
AT01,AT,2134,2134,AT_02
AT01,AT,2135,2135,AT_02
AT01,AT,2136,2136,AT_02
AT01,AT,2137,2137,AT_02
AT01,AT,2141,2141,AT_02
AT01,AT,2143,2143,AT_02
AT01,AT,2144,2144,AT_02
AT01,AT,2145,2145,AT_02
AT01,AT,2151,2151,AT_02
AT01,AT,2152,2152,AT_02
AT01,AT,2153,2153,AT_02
AT01,AT,2154,2154,AT_02
AT01,AT,2161,2161,AT_02
AT01,AT,2162,2162,AT_02
AT01,AT,2163,2163,AT_02
AT01,AT,2164,2164,AT_02
AT01,AT,2165,2165,AT_02
AT01,AT,2170,2170,AT_02
AT01,AT,2171,2171,AT_02
AT01,AT,2172,2172,AT_02
AT01,AT,2173,2173,AT_02
AT01,AT,2181,2181,AT_02
AT01,AT,2182,2182,AT_02
AT01,AT,2183,2183,AT_02
AT01,AT,2184,2184,AT_02
AT01,AT,2185,2185,AT_02
AT01,AT,2191,2191,AT_02
AT01,AT,2192,2192,AT_02
AT01,AT,2193,2193,AT_02
AT01,AT,2201,2201,AT_02
AT01,AT,2202,2202,AT_02
AT01,AT,2203,2203,AT_02
AT01,AT,2211,2211,AT_02
AT01,AT,2212,2212,AT_02
AT01,AT,2213,2213,AT_02
