Region;CountryCode;Country;ShippingPointNameSAP;NameOfWHS;Type;SAPCode;TypeOfWHS;Address;Zipcode;City;LogisticArea;FTELogistics;FullAddress
Europe;IT;Italy;ITS1 Gamma Trasporti (ITS1);Gamma Trasporti;3PL;ITS1;3PL warehouse;Via B. Buozzi 23/25;25125;Brescia;;;Italy Via B. Buozzi 23/25 25125 Brescia
Europe;IT;Italy;ITS2 Panza Basilio (ITS2);Panza Basilio;3PL;ITS2;3PL warehouse;Via Briantea 14;24030;Palazzago;;;Italy Via Briantea 14 24030 Palazzago
Europe;IT;Italy;;Chito Forniture;3PL;ITS3;3PL warehouse;Via Pascoli 8;24050;Cortenuova;;;Italy Via Pascoli 8 24050 Cortenuova
Europe;IT;Italy;ITS4 Paleni (ITS4);Paleni;3PL;ITS4;3PL warehouse;Viale Matteotti 43a;24050;Grassobbio;;;Italy Viale Matteotti 43a 24050 Grassobbio
Europe;IT;Italy;ITS5 Plastypiemonte (ITS5);Plastypiemonte s.r.l.;3PL;ITS5;3PL warehouse;Via Tommaso Agudio 10;10040;Leinì;;;Italy Via Tommaso Agudio 10 10040 Leinì
APAC;MY;Malaysia;;Leviat Malaysia;Leviat;;Local warehouse;28 Jalan Anggerik Mokara 31/59;40460;Kota Kemuning;;;Malaysia 28 Jalan Anggerik Mokara 31/59 40460 Kota Kemuning
Europe;NL;Netherlands;NLS1 Wecoat Sub co (NLS1);Wecoat;Subcon;NLS1;Subcontractor;Industrieweg 35;6039 AP;Stramproy;;;Netherlands Industrieweg 35 6039 AP Stramproy
Europe;NL;Netherlands;NLS2 Rotocoat Subco (NLS2);Rotocoat;Subcon;NLS2;Subcontractor;Aan de Schipsloot 13;8471 ZC;Wolvega;;;Netherlands Aan de Schipsloot 13 8471 ZC Wolvega
Europe;NO;Norway;;Leviat Stavanger;Leviat;;Local warehouse;Vestre Svanholmen 5;4313;Sandnes;;;Norway Vestre Svanholmen 5 4313 Sandnes
APAC;NZ;New-Zealand;;Leviat Otahuhu;Leviat;;Local warehouse;246D James Fletcher Drive;2024;Otahuhu;;;New-Zealand 246D James Fletcher Drive 2024 Otahuhu
APAC;NZ;New-Zealand;;Leviat Christchurch;Leviat;;Local warehouse;2/19 Nuttall Drive;8022;Hillsborough;;;New-Zealand 2/19 Nuttall Drive 8022 Hillsborough
Europe;PL;Poland;PL01 LEVIAT KALISZ (PL01);Leviat Kalisz;Leviat;PL01;Central warehouse;Rozwojowa 3;62-800;Kalisz;;;Poland Rozwojowa 3 62-800 Kalisz
Europe;PL;Poland;;Winner Kalisz;3PL;;HUB;Ul. Rozwojowa 1;62-800;Kalisz;;;Poland Ul. Rozwojowa 1 62-800 Kalisz
Europe;SE;Sweden;SES1 Incorp (SES1);Incorp;3PL;SES1;3PL warehouse;Exportgatan 61;422 46;Hisings Backa;;;Sweden Exportgatan 61 422 46 Hisings Backa
Europe;SE;Sweden;;Milles TeknikPla;3PL;SES2;3PL warehouse;Bergsjödalen 55;415 23;Göteborg;;;Sweden Bergsjödalen 55 415 23 Göteborg
Europe;SE;Sweden;;DISTEX Bygg. AB;3PL;SES3;3PL warehouse;Hedentorpsvägen 8;291 59;Kristianstad;;;Sweden Hedentorpsvägen 8 291 59 Kristianstad
APAC;SG;Singapore;;Leviat Singapore;Leviat;;Local warehouse;14 Benoi Cres;629977;Singapore;;;Singapore 14 Benoi Cres 629977 Singapore
US;US;United States;;Leviat Anaheim;Leviat;;Local warehouse;3611 E La Palme Avenue;CA 92806;Anaheim; 1 847,84 ; 3,00 ;United States 3611 E La Palme Avenue CA 92806 Anaheim
US;US;United States;;Leviat Tampa;Leviat;;Local warehouse;6467 S Falkenburg Road;FL 33578;Tampa; 4 472,26 ; 5,00 ;United States 6467 S Falkenburg Road FL 33578 Tampa
US;US;United States;;Leviat Atlanta;Leviat;;Local warehouse;3080 N Lanier Parkway;GA 30034;Decatur; 3 773,44 ; 7,00 ;United States 3080 N Lanier Parkway GA 30034 Decatur
US;US;United States;;Leviat Des Moines;Leviat;;Local warehouse;1000 Technology Drive;IA 50036;Des Moines; 5 574,18 ; 3,00 ;United States 1000 Technology Drive IA 50036 Des Moines
US;US;United States;;Leviat Bergen County;Leviat;;Local warehouse;526 US Route 46;NJ 07608;Teterboro ; 1 660,83 ; 3,00 ;United States 526 US Route 46 NJ 07608 Teterboro 
US;US;United States;;Leviat Portland;Leviat;;Local warehouse;155 SE Hazel Dell Way;0R 97013;Canby; 1 282,06 ; 3,00 ;United States 155 SE Hazel Dell Way 0R 97013 Canby
US;US;United States;;Leviat Hazleton;Leviat;;Local warehouse;565 Oak Ridge Road;PA 18202;Hazleton; 4 366,44 ; 5,00 ;United States 565 Oak Ridge Road PA 18202 Hazleton
US;US;United States;;Leviat San Antonio;Leviat;;Local warehouse;4965 Eisenhauer Rd #101;TX 78218;Windcrest; 6 340,63 ; 6,00 ;United States 4965 Eisenhauer Rd #101 TX 78218 Windcrest
US;US;United States;;Leviat Fort Worth;Leviat;;Local warehouse;7000 Will Rogers Blvd;TX 76140;Fort Worth; 4 598,70 ; 7,00 ;United States 7000 Will Rogers Blvd TX 76140 Fort Worth
