SalesOrganizationID,MaterialID,InvoiceDate,Currency,NetAmount
045,DUMMY_US_F.6.,1/1/2022,USD,660000
045,DUMMY_US_F.6.,2/1/2022,USD,660000
045,DUMMY_US_F.6.,3/1/2022,USD,810000
045,DUMMY_US_F.6.,4/1/2022,USD,730000
045,DUMMY_US_F.6.,5/1/2022,USD,730000
045,DUMMY_US_F.6.,6/1/2022,USD,850000
045,DUMMY_US_F.6.,7/1/2022,USD,700000
045,DUMMY_US_F.6.,8/1/2022,USD,700000
045,DUMMY_US_F.6.,9/1/2022,USD,850000
045,DUMMY_US_F.6.,10/1/2022,USD,710000
045,DUMMY_US_F.6.,11/1/2022,USD,710000
045,DUMMY_US_F.6.,12/1/2022,USD,790000
045,DUMMY_US_N.3.,1/1/2022,USD,0
045,DUMMY_US_N.3.,2/1/2022,USD,0
045,DUMMY_US_N.3.,3/1/2022,USD,20000
045,DUMMY_US_N.3.,4/1/2022,USD,20000
045,DUMMY_US_N.3.,5/1/2022,USD,20000
045,DUMMY_US_N.3.,6/1/2022,USD,20000
045,DUMMY_US_N.3.,7/1/2022,USD,20000
045,DUMMY_US_N.3.,8/1/2022,USD,20000
045,DUMMY_US_N.3.,9/1/2022,USD,20000
045,DUMMY_US_N.3.,10/1/2022,USD,20000
045,DUMMY_US_N.3.,11/1/2022,USD,20000
045,DUMMY_US_N.3.,12/1/2022,USD,20000
045,DUMMY_US_N.4.,1/1/2022,USD,560000
045,DUMMY_US_N.4.,2/1/2022,USD,560000
045,DUMMY_US_N.4.,3/1/2022,USD,680000
045,DUMMY_US_N.4.,4/1/2022,USD,620000
045,DUMMY_US_N.4.,5/1/2022,USD,610000
045,DUMMY_US_N.4.,6/1/2022,USD,710000
045,DUMMY_US_N.4.,7/1/2022,USD,590000
045,DUMMY_US_N.4.,8/1/2022,USD,590000
045,DUMMY_US_N.4.,9/1/2022,USD,720000
045,DUMMY_US_N.4.,10/1/2022,USD,600000
045,DUMMY_US_N.4.,11/1/2022,USD,600000
045,DUMMY_US_N.4.,12/1/2022,USD,660000
045,DUMMY_US_N.5.,1/1/2022,USD,-110000
045,DUMMY_US_N.5.,2/1/2022,USD,-110000
045,DUMMY_US_N.5.,3/1/2022,USD,-140000
045,DUMMY_US_N.5.,4/1/2022,USD,-120000
045,DUMMY_US_N.5.,5/1/2022,USD,-130000
045,DUMMY_US_N.5.,6/1/2022,USD,-140000
045,DUMMY_US_N.5.,7/1/2022,USD,-120000
045,DUMMY_US_N.5.,8/1/2022,USD,-120000
045,DUMMY_US_N.5.,9/1/2022,USD,-140000
045,DUMMY_US_N.5.,10/1/2022,USD,-120000
045,DUMMY_US_N.5.,11/1/2022,USD,-120000
045,DUMMY_US_N.5.,12/1/2022,USD,-130000
045,DUMMY_US_N.6.,1/1/2022,USD,-40000
045,DUMMY_US_N.6.,2/1/2022,USD,-40000
045,DUMMY_US_N.6.,3/1/2022,USD,-50000
045,DUMMY_US_N.6.,4/1/2022,USD,-50000
045,DUMMY_US_N.6.,5/1/2022,USD,-50000
045,DUMMY_US_N.6.,6/1/2022,USD,-60000
045,DUMMY_US_N.6.,7/1/2022,USD,-50000
045,DUMMY_US_N.6.,8/1/2022,USD,-50000
045,DUMMY_US_N.6.,9/1/2022,USD,-60000
045,DUMMY_US_N.6.,10/1/2022,USD,-50000
045,DUMMY_US_N.6.,11/1/2022,USD,-50000
045,DUMMY_US_N.6.,12/1/2022,USD,-50000
