Customer,CompanyID,UniqueCustomerNumber,CustName,Parent_Name,CustSegment,CustCategory,SalesGroup,RSM,LineDisc,STATE,DateOpened,CreatedDate,LTMsales,NewHalfenCust,CSG,InsideOutside,InsideFlag,Region,CustomerPillar,Country
003897,045,045-003897,SouthernCarlson - Ft. Lauderdale,SouthernCarlson Inc.,Distributor - National,Distributor,LoriDykes,Con-Fab,DealerB,FL,6/14/2019,6/14/2019," 19,802 ",,,O,,South,Other,US
003323,045,045-003323,WC QUEENS #110,White Cap,White Cap,Distributor,DonFowler,Con-Fab,Whitecap50,NY,11/10/2015,11/10/2015," 19,694 ",,CSG,O,,North,Other,US
001665,045,045-001665,Olson Precast- NV,Olson Precast Co.,Utility Precast Producer,Precast,EricNesset,Prec-Pres,PrecastC,NV,1/28/2000,11/27/2010," 19,626 ",,,O,,West,Precast,US
005508,045,045-005508,WC Henrietta NY #515,White Cap,White Cap,Distributor,EJPfab,Con-Fab,Whitecap,NY,6/22/2020,6/22/2020," 19,597 ",,CSG,O,,North,Other,US
100206,045,045-100206,Smith-Midland Corp.,Smith Midland Corp.,Architectural Producer,Precast,GaryPascoe,Prec-Pres,PrecastB,VA,1/1/1900,10/27/2012," 19,567 ",,,O,,North,Precast,US
004633,045,045-004633,J&E Companies,J&E Companies,Masonry Contractor,Contractor,KelseyWahl,Con-Fab,,TX,3/26/2020,3/26/2020," 19,492 ",New Halfen,,O,,South,Other,US
001537,045,045-001537,"Atlas Construction Specialties - Seattle, WA",Atlas Construction Specialties,Distributor- Regional,Distributor,ScottRolu,Con-Fab,DealerB,WA,9/24/2003,11/27/2010," 19,385 ",,,O,,West,Other,US
001127,045,045-001127,Seminole Precast Mfg Inc,Seminole Precast Mfg Inc,Utility Precast Producer,Precast,JeffMyers,Prec-Pres,PrecastB,FL,6/5/2008,11/27/2010," 19,343 ",,,O,,South,Precast,US
004174,045,045-004174,Cabarrus Glass Company,Cabarrus Glass Company,Glazing Contractor,Contractor,GregArnet,Con-Fab,,NC,3/26/2020,3/26/2020," 19,237 ",New Halfen,,O,,South,Other,US
001821,045,045-001821,F-S Prestress LLC - Princeton,F-S Prestress LLC,Prestress Producer,Prestress Producer,DavidChris,Prec-Pres,PrecastD,LA,9/30/1994,11/27/2010," 19,131 ",,,O,,South,Precast,US
001188,045,045-001188,Hog Slat Inc,Hog Slat Inc,Utility Precast Producer,Precast,JeffMyers,Prec-Pres,PrecastC,NC,1/4/2006,11/27/2010," 19,130 ",,,O,,South,Precast,US
003948,045,045-003948,WC Bellevue #507,White Cap,White Cap,Distributor,ScottRolu,Con-Fab,Whitecap,WA,12/26/2019,12/26/2019," 18,970 ",,CSG,O,,West,Other,US
000616,045,045-000616,Lance Constr Supplies,Lance Constr Supplies,Distributor- Local,Distributor,GregHolsho,Con-Fab,DealerD,IL,10/12/1996,11/27/2010," 18,909 ",,,O,,North,Other,US
001798,045,045-001798,Builders Supply Co. In,Builders Supply Co. In,Distributor- Local,Distributor,GregArnet,Con-Fab,DealerC,LA,5/18/1990,11/27/2010," 18,880 ",,,O,,South,Other,US
005168,045,045-005168,"Structural Preservation Systems, LLC","Structural Preservation Systems, LLC",Regional Contractor,Contractor,EJPfab,Con-Fab,,MD,3/26/2020,3/26/2020," 18,870 ",New Halfen,,O,,North,Other,US
005648,045,045-005648,Contech Sealy,Contech,,,GregArnet,con-fab,,TX,1/29/2021,1/29/2021," 18,801 ",,,O,,South,Other,US
001554,045,045-001554,Cxt Inc. - TX,Cxt Inc,Architectural Producer,Precast,DavidChris,Prec-Pres,PrecastD,TX,2/20/2008,11/27/2010," 18,793 ",,,O,,South,Precast,US
001371,045,045-001371,Wc Allen #712,White Cap,White Cap,Distributor,KelseyWahl,Con-Fab,DealerATlt,TX,8/4/2006,11/27/2010," 18,698 ",,CSG,O,,South,Other,US
001251,045,045-001251,Wc Conway #271,White Cap,White Cap,Distributor,GregArnet,Con-Fab,Whitecap,SC,9/12/2007,11/27/2010," 18,651 ",,CSG,O,,South,Other,US
